Image Count,Property Type,Property Price,Compound,City,Governorate,Bedrooms,Bathrooms,Area
15,Apartment,"3,750,000 EGP",Al Khamayel city,Sheikh Zayed City,Giza, 1, 1, 75 sqm
10,Apartment,"8,300,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 150 sqm
10,Apartment,"6,300,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 120 sqm
10,Townhouse,"19,000,000 EGP",Belleville,Sheikh Zayed City,Giza, 3, 3, 202 sqm
10,Duplex,"2,450,009 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 195 sqm
6,Apartment,"5,650,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 167 sqm
12,Villa,"50,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 3, 5, 570 sqm
11,Apartment,"11,672,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 4, 4, 205 sqm
23,Apartment,"10,090,000 EGP",Naia West,Sheikh Zayed City,Giza, 3, 3, 160 sqm
10,Townhouse,"12,946,000 EGP",Etapa,Sheikh Zayed City,Giza, 4, 4, 306 sqm
10,Villa,Ask for price,Al Karma 4,Sheikh Zayed City,Giza, 4, 3, 400 sqm
15,Apartment,"13,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 160 sqm
10,Apartment,"8,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 140 sqm
12,Apartment,"4,500,000 EGP",Terrace Compound,Sheikh Zayed City,Giza, 2, 2, 110 sqm
15,Apartment,"11,200,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 225 sqm
10,Apartment,"7,364,004 EGP",Etapa,Sheikh Zayed City,Giza, 3, 2, 153 sqm
12,Apartment,"4,000,000 EGP",Cairo University Compound,Sheikh Zayed City,Giza, 3, 3, 350 sqm
19,Duplex,"13,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 4, 165 sqm
14,Apartment,"9,900,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 3, 150 sqm
10,Apartment,"8,000,000 EGP",The portal Beverly Hills,Sheikh Zayed City,Giza, 4, 4, 350 sqm
11,Apartment,"3,133,985 EGP",Kayan,Sheikh Zayed City,Giza, 1, 2, 70 sqm
14,Apartment,"11,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 3, 129 sqm
11,Apartment,"5,855,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 76 sqm
12,Apartment,"3,200,000 EGP",Cairo University Compound,Sheikh Zayed City,Giza, 3, 3, 190 sqm
10,Townhouse,"11,000,000 EGP",Lake West,Sheikh Zayed City,Giza, 4, 4, 265 sqm
15,Apartment,"11,357,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 163 sqm
15,Villa,"17,000,000 EGP",Patio Al Zahraa,Sheikh Zayed City,Giza, 3, 3, 200 sqm
14,Villa,"26,000,000 EGP",Six West Beverly Hills,Sheikh Zayed City,Giza, 4, 4, 240 sqm
9,Villa,"24,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 3, 3, 320 sqm
15,Penthouse,"12,895,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 293 sqm
18,Apartment,"9,506,120 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 165 sqm
10,Apartment,"4,930,000 EGP",Terrace Compound,Sheikh Zayed City,Giza, 2, 2, 123 sqm
30,Apartment,"5,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 130 sqm
12,Apartment,"11,414,000 EGP",The Estates,Sheikh Zayed City,Giza, 2, 3, 159 sqm
21,Apartment,"10,007,627 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 129 sqm
16,Townhouse,"14,500,000 EGP",Atrio,Sheikh Zayed City,Giza, 4, 4, 246 sqm
13,Twin House,"19,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 3, 3, 450 sqm
8,Townhouse,"26,000,000 EGP",Westown,Sheikh Zayed City,Giza, 4, 4, 333 sqm
13,Apartment,"7,830,000 EGP",Naia West,Sheikh Zayed City,Giza, 2, 2, 135 sqm
23,Apartment,"16,358,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 144 sqm
19,Apartment,"6,800,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 76 sqm
10,Duplex,"15,500,000 EGP",Westown,Sheikh Zayed City,Giza, 4, 4, 245 sqm
21,Villa,"40,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 6, 7, 550 sqm
8,Apartment,"7,500,000 EGP",Naia West,Sheikh Zayed City,Giza, 3, 3, 130 sqm
10,Penthouse,"10,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 213 sqm
13,Apartment,"4,386,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 1, 90 sqm
10,Apartment,"10,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 3, 145 sqm
29,Apartment,"14,701,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 4, 185 sqm
15,Apartment,"10,572,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 3, 137 sqm
23,Apartment,"10,670,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 3, 137 sqm
23,Apartment,"10,670,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 3, 137 sqm
19,Apartment,"19,286,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 4, 4, 242 sqm
16,Apartment,"9,310,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 2, 129 sqm
11,Apartment,"14,401,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 4, 185 sqm
25,Apartment,"5,547,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 1, 1, 76 sqm
29,Apartment,"15,317,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 4, 195 sqm
12,Twin House,"19,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 3, 3, 350 sqm
11,Villa,"30,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 3, 3, 840 sqm
11,Duplex,"12,600,000 EGP",Westown,Sheikh Zayed City,Giza, 3, 3, 357 sqm
10,Twin House,"6,600,000 EGP",Lake West,Sheikh Zayed City,Giza, 3, 3, 275 sqm
10,Apartment,"5,153,425 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 135 sqm
10,Townhouse,"23,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 4, 4, 230 sqm
10,Apartment,"6,262,056 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 120 sqm
10,Apartment,"6,923,750 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 135 sqm
12,Townhouse,"15,000,000 EGP",Westown,Sheikh Zayed City,Giza, 3, 4, 333 sqm
10,Townhouse,"18,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 4, 3, 330 sqm
17,Apartment,"12,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 4, 202 sqm
9,Apartment,"8,800,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 175 sqm
10,Townhouse,"13,300,000 EGP",Etapa,Sheikh Zayed City,Giza, 5, 5, 313 sqm
15,Townhouse,"14,500,000 EGP",Naia West,Sheikh Zayed City,Giza, 3, 3, 195 sqm
10,Twin House,"19,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 4, 4, 366 sqm
12,Penthouse,"13,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 243 sqm
10,Villa,Ask for price,Royal Meadows,Sheikh Zayed City,Giza, 6, 6, 950 sqm
10,Apartment,"5,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 120 sqm
11,Apartment,"8,610,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 159 sqm
12,Full Floor,Ask for price,Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 6, 5, 490 sqm
10,Apartment,"6,350,000 EGP",Village West,Sheikh Zayed City,Giza, 2, 1, 123 sqm
12,Apartment,"13,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 2, 2, 156 sqm
10,Apartment,"5,200,000 EGP",Village West,Sheikh Zayed City,Giza, 1, 1, 95 sqm
11,Twin House,"24,900,000 EGP",The Estates,Sheikh Zayed City,Giza, 3, 3, 250 sqm
11,Townhouse,"11,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 3, 3, 230 sqm
16,Villa,"16,000,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 4, 220 sqm
15,Apartment,"12,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 4, 3, 160 sqm
12,Townhouse,"14,000,000 EGP",Meadows Park,Sheikh Zayed City,Giza, 4, 3, 340 sqm
10,Villa,"16,950,000 EGP",The Estates,Sheikh Zayed City,Giza, 6, 5, 308 sqm
24,Apartment,"13,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 215 sqm
13,Apartment,"6,347,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
19,Duplex,"8,400,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 230 sqm
12,Apartment,"7,900,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 165 sqm
10,Apartment,"8,600,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 2, 160 sqm
12,Villa,Ask for price,Royal Meadows,Sheikh Zayed City,Giza, 6, 7+, 660 sqm
10,Villa,"70,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 5, 4," 1,070 sqm"
11,Apartment,"5,145,640 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 2, 100 sqm
9,Apartment,"8,037,758 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 3, 160 sqm
11,Apartment,"27,000,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 3, 201 sqm
15,Apartment,"2,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 120 sqm
20,Apartment,"6,000,000 EGP",Beverly Hills,Sheikh Zayed City,Giza, 3, 3, 172 sqm
10,Apartment,"16,000,000 EGP",Sodic West,Sheikh Zayed City,Giza, 3, 2, 144 sqm
10,Apartment,"4,650,000 EGP",Al Khamayel city,Sheikh Zayed City,Giza, 3, 3, 168 sqm
11,Apartment,"11,562,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 129 sqm
10,Villa,"26,500,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 4, 3, 670 sqm
26,Villa,"40,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 5, 3," 1,050 sqm"
13,Apartment,"4,800,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 120 sqm
11,Apartment,"7,619,911 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 135 sqm
11,Apartment,"5,800,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 180 sqm
11,Penthouse,"6,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 140 sqm
19,Apartment,"23,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 201 sqm
10,Apartment,"25,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 4, 3, 230 sqm
10,Apartment,"7,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 75 sqm
10,Apartment,"6,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 75 sqm
10,Apartment,"14,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 144 sqm
19,Apartment,"11,800,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 129 sqm
12,Apartment,"6,800,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 150 sqm
10,Apartment,"783,150 EGP",Village West,Sheikh Zayed City,Giza, 2, 2, 123 sqm
19,Apartment,"6,750,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 3, 120 sqm
10,Apartment,"22,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 2, 201 sqm
12,Apartment,"9,000,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 180 sqm
12,Townhouse,"14,500,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 220 sqm
10,Apartment,"430,600 EGP",Village West,Sheikh Zayed City,Giza, 1, 1, 95 sqm
10,Townhouse,"10,000,000 EGP",Menorca Zayed,Sheikh Zayed City,Giza, 3, 3, 225 sqm
17,Apartment,"11,800,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 144 sqm
9,Apartment,"3,700,000 EGP",Al Khamayel city,Sheikh Zayed City,Giza, 3, 3, 170 sqm
9,Apartment,"4,200,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 1, 90 sqm
17,Apartment,"10,500,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 3, 165 sqm
28,Apartment,"5,311,387 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 2, 102 sqm
12,Apartment,"9,802,832 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 4, 165 sqm
